screen_name,upper_letter_count,upper_ratio,followers_count,friends_count,bio_pronouns_count,bio_NNP_tags,bio_PRP_tags,bio_Yes_freq_terms,bio_No_freq_terms,bio_auto_Yes_freq_terms,bio_auto_No_freq_terms,class
@steveshaw1979,0,0.0,1008,936,6,1,4,0,0,5,5,n
@ManorRdGoods,3,0.23076923076923078,1001,948,0,6,0,1,1,10,3,y
@StudentNurse_UK,4,0.25,1001,1016,1,1,1,0,2,3,6,n
@keepinupwithni,0,0.0,1000,697,1,4,1,0,1,0,5,n
@kiwikiwipee,0,0.0,1000,1029,0,20,0,0,0,11,0,y
@_WhiskeyDarlin,2,0.13333333333333333,1000,1200,5,4,3,1,0,4,3,n
@SallyJoBradley1,3,0.1875,1000,1997,0,3,0,0,0,14,3,y
@Jirianranj,1,0.09090909090909091,991,863,1,2,0,0,1,2,0,n
@PoeticGoddness,2,0.13333333333333333,990,421,2,16,2,0,0,0,12,n
@aasthatwitting,0,0.0,989,31,0,3,0,0,0,0,3,n
@kristenmooody,0,0.0,989,677,1,10,2,0,0,0,7,n
@oswin_claire,0,0.0,984,1299,0,10,0,0,0,8,0,y
@nursing_dp,0,0.0,983,1917,0,0,0,0,0,3,0,y
@Aki__Nijou,2,0.18181818181818182,983,396,0,11,0,0,0,9,1,y
@abcdef__jee,0,0.0,982,581,0,0,0,0,0,0,1,n
@just_drew_me,0,0.0,977,507,2,7,1,0,0,6,0,y
@neil_catherine,0,0.0,969,816,0,6,0,1,1,9,0,y
@EZannuti,2,0.2222222222222222,967,2294,0,10,0,0,0,8,1,y
@PetRosewood,2,0.16666666666666666,965,0,0,2,1,0,1,11,3,y
@ObstetricsRN,3,0.23076923076923078,964,1743,0,0,0,0,0,8,0,y
@muchirijoyce1,0,0.0,964,1990,0,0,0,1,0,0,0,y
@AbbyHespah,2,0.18181818181818182,962,2011,0,13,0,0,0,5,1,y
@ohiamjessica,0,0.0,953,1322,2,1,1,1,1,2,3,n
@V_ofPSE,4,0.5,951,1116,2,4,1,0,0,12,1,y
@LiveAsQueenAnne,4,0.25,951,1950,0,11,0,0,0,9,0,y
@LynnieceMiss,2,0.15384615384615385,951,1886,0,2,0,0,0,2,5,n
@RNRecruiting,3,0.23076923076923078,951,35,3,3,3,0,0,2,7,n
@PatriciaLindbe3,2,0.125,950,1887,0,3,0,0,0,4,0,y
@kbdpgela,0,0.0,949,644,2,0,1,1,0,3,3,n
@jaretblidook,0,0.0,940,1986,2,2,2,0,0,11,1,y
@nursingstat,0,0.0,939,1654,2,5,0,1,0,9,5,y
@4wrapstolive,0,0.0,936,1642,1,12,1,1,0,6,1,y
@downtownlesbos,0,0.0,936,796,1,1,1,0,0,8,0,y
@WhiteJacketPink,3,0.1875,935,838,1,13,0,0,0,8,0,y
@Crashnebula14,1,0.07142857142857142,931,1924,1,5,1,0,0,2,8,n
@my_vetnurse,0,0.0,928,1674,2,0,1,0,0,4,7,n
@buckiewitmer,0,0.0,928,1047,0,0,0,0,0,1,0,y
@staffing_agent,0,0.0,926,1892,0,6,0,0,0,6,1,y
